,category,gene_program,p_h0,p_h1,log_bayes_factor
101,9,Add-on_37_GP,0.94852814943593,0.05147185056407,2.9138763995158135
102,0,RBP4_ligand_receptor_target_gene_GP,0.9480893556259063,0.05191064437409365,2.90492489172812
103,14,CCL20_combined_GP,0.05200892858327187,0.9479910714167281,-2.902929676489188
104,5,IL32_combined_GP,0.05371008647328583,0.9462899135267142,-2.868948170666556
105,8,Add-on_98_GP,0.05495666736708806,0.945043332632912,-2.8446857724133614
106,11,IL22_combined_GP,0.055524148918078775,0.9444758510819212,-2.8338120769009842
107,0,IL32_combined_GP,0.9439718943071913,0.056028105692808694,2.824242940502427
108,6,MFAP5_ligand_receptor_target_gene_GP,0.056922013816427204,0.9430779861835727,-2.8074668269217344
109,0,INSL5_combined_GP,0.9426671846232569,0.05733281537674306,2.7998401338127614
110,14,TNXB_ligand_receptor_target_gene_GP,0.9425794305034518,0.05742056949654817,2.798217599420385
111,10,Add-on_68_GP,0.057725211102407935,0.9422747888975921,-2.792602927710878
112,13,RARRES2_combined_GP,0.9418375359078589,0.0581624640921411,2.784592592697681
113,5,CDH1_ligand_receptor_target_gene_GP,0.9408515695505887,0.059148430449411316,2.7667353352175073
114,14,TIMP3_ligand_receptor_target_gene_GP,0.9404544583535462,0.05954554164645376,2.7596217991490017
115,0,NID1_combined_GP,0.06073156003366837,0.9392684399663316,-2.738637819292694
116,14,CXCL3_combined_GP,0.9389163308459186,0.061083669154081366,2.7324818208613553
117,3,CADM2_ligand_receptor_target_gene_GP,0.9386704682866271,0.061329531713372853,2.7282029945219306
118,8,TTR_combined_GP,0.9381535836488601,0.061846416351139855,2.7192595146292713
119,11,Add-on_26_GP,0.062178121122502976,0.937821878877497,-2.713556848947696
120,0,CEACAM6_combined_GP,0.06258291568462442,0.9374170843153756,-2.706635982048874
121,6,SLC6A8_combined_GP,0.06296757210027244,0.9370324278997275,-2.700098024535979
